answer_id,participant_id,music_id,answer,original_answer,timestamp,favorite,translated_to_english,performer,piece_name,performance_name
71,4,9,"slow, sad, clear_phrasing","slow, sad, clear phrasing",2018-02-16 12:43:42,,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
94,7,9,"soft, tender","soft, tender",2018-02-16 14:14:39,,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
130,10,9,ordinary,ordinary,2018-02-19 07:42:00,,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
170,16,9,pacified,pacified,2018-03-04 13:44:56,,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
235,36,9,blank,blank,2018-03-16 08:34:10,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
381,46,9,fragile,ранимая,2018-03-25 12:57:48,0.0,fragile,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
412,47,9,"slow, sameness, loud, soft","Slow, sameness, loud and soft,",2018-03-26 15:28:07,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
470,49,9,"dull, rough, unclear","dumpf, rau, unklar",2018-03-29 19:58:04,0.0,"dull, rough, unclear",Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
519,50,9,"muted, discreet","muted, discreet",2018-04-01 12:03:45,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
565,57,9,very_emotional,Very gefühlvoll.,2018-04-03 17:30:48,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
690,71,9,"classy, straight, careful","classy, straight, careful",2018-04-05 10:22:03,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
721,72,9,"expressive, differentiated","expressive, differentiated",2018-04-05 13:01:47,1.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
775,73,9,restrained,restrained,2018-04-05 15:11:49,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
801,74,9,"delicate, soft, tender, even, calm","delicate, soft, tender, even, calm",2018-04-05 17:06:33,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
859,78,9,"very_nice, expressive, not_very_dynamic",Very nice and expressive - not very dynamic ,2018-04-08 12:11:09,1.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
906,86,9,"latent, desperate","latent, desperate",2018-04-10 13:38:21,1.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
939,89,9,"breathy, warm","breathy, warm",2018-04-13 19:25:59,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
995,100,9,the_arpeggios_are_too_loud,The arpeggios are too loud(left hand),2018-04-19 09:28:16,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1078,106,9,"old_recording, slow_tempo, sounds_like_an_old_pianist_playing, fragile, wise","old recording; slow tempo; sounds like an old pianist playing, i.e. fragile and  wise in some way.",2018-04-20 07:24:15,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1102,109,9,"old_recording_with_noise, delicately_played, very_restrained, musical, sounds_like_the_model_of_no_2","Alte Aufnahme mit Rauschen, fein gespielt, sehr zurückhaltend, musikalisch, hört sich an wie das Vorbild von Nr.2",2018-04-20 09:04:28,0.0,"old_recording_with_noise, delicately_played, very_restrained, musical, sounds_like_the_model_of_no_2",Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1175,121,9,"flowing, mobile, deliberate, calm, rounded","fließend, beweglich, bedacht, ruhig, abgerundet",2018-04-23 17:31:18,1.0,"flowing, mobile, deliberate, calm, rounded",Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1202,124,9,"deliberate, withdrawn","bedächtig, zurückgenommen",2018-04-25 10:06:19,0.0,"deliberate, withdrawn",Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1225,130,9,"a_bit_cheerful, light","a bit cheerful and light,",2018-05-02 18:19:47,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1280,131,9,"bit_too_fast, very_light","Bit too fast, very light",2018-05-02 22:30:48,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1402,146,9,"monotonous, not_dynamic","monotonous, not dynamic",2018-07-06 12:59:56,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1579,157,9,"beautiful_sound, one_hears_the_metronome_in_the_thirds",Beautiful sound but one hears the metronome in the thirds,2018-08-29 14:43:31,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1593,159,9,solemn,getragen,2018-09-09 13:41:11,1.0,solemn,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
